isocode	concept	form	wordLength	longestClusterLength	vowConsRatio
fin	EYE	silmæ	5	2	0.6875
fin	EAR	kɔrʋɑ	5	2	0.6875
fin	NOSE	nɛnæ	4	1	1.0
fin	MOUTH	suː	2	1	1.0
fin	TOOTH	hɑmːɑs	5	1	0.6875
fin	TONGUE	kiɛ̯li	5	1	1.4545454545454546
fin	LIP	huːli	4	1	1.0
fin	CHEEK	pɔski	5	2	0.6875
fin	FACE	nɑːmɑ	4	1	1.0
fin	FACE	kɑsʋɔt	6	2	0.5238095238095238
fin	FOREHEAD	ɔt͡sɑ	3	2	1.0
fin	HAIR	hiu̯s	4	1	1.0
fin	HAIR	tʊkːɑ	4	1	1.0
fin	MOUSTACHE	ʋiːksɛt	5	2	0.5238095238095238
fin	BEARD	pɑrtɑ	5	2	0.6875
fin	CHIN	lɛʊkɑ	5	1	1.4545454545454546
fin	JAW	lɛʊkɑluː	7	1	1.3125
fin	THROAT	kʊrkːʊ	5	2	0.6875
fin	NECK	kɑwlɑ	5	2	0.6875
fin	NAPE (OF NECK)	niskɑ	5	2	0.6875
fin	HEAD	pæː	2	1	1.0
fin	BACK	sɛlkæ	5	2	0.6875
fin	BELLY	mɑhɑ	4	1	1.0
fin	BELLY	ʋɑt͡sɑ	4	2	0.6875
fin	NAVEL	nɑpɑ	4	1	1.0
fin	BREAST	rintɑ	5	2	0.6875
fin	CHEST	rintɑ	5	2	0.6875
fin	SHOULDER	ɔlkɑ	4	2	1.0
fin	SHOULDER	hɑrtiɑ	6	2	1.0
fin	SHOULDER	ɔlkɑpæː	6	2	1.0
fin	ARM	kæsiʋɑrsi	8	2	0.8076923076923077
fin	ELBOW	kyːnærpæː	7	2	0.7619047619047619
fin	HAND	kæsi	4	1	1.0
fin	PALM OF HAND	kæmːɛn	5	1	0.6875
fin	FINGER	sɔrmi	5	2	0.6875
fin	FINGERNAIL	kʏnsi	4	2	0.6875
fin	FINGERNAIL OR TOENAIL	kʏnsi	4	2	0.6875
fin	TOE	ʋɑrʋɑs	6	2	0.5238095238095238
fin	FOOT	jɑlkɑ	5	2	0.6875
fin	HEEL	kɑntɑpæː	7	2	0.7619047619047619
fin	KNEE	pɔlʋi	5	2	0.6875
fin	THIGH	rɛi̯si	5	1	1.4545454545454546
